player,mat,runs,ball,M,_4s,_6s,strike_rate
379143,936159,34,40,56,4,0,85.0
43906,936159,57,71,110,5,1,80.28
44828,936159,55,68,85,5,0,80.88
44936,936159,30,27,32,3,1,111.11
43906,936161,15,14,16,3,0,107.14
379143,936161,17,22,50,2,0,77.27
44828,936161,105,120,164,7,1,87.5
44936,936161,3,5,7,0,0,60.0
44932,936161,11,19,27,0,0,57.89
321777,936161,117,98,138,3,6,119.38
439952,936161,26,20,35,0,2,130.0
265564,936161,2,2,6,0,0,100.0
379143,936163,8,11,19,1,0,72.72
43906,936163,34,54,91,4,0,62.96
44828,936163,24,27,41,3,1,88.88
44936,936163,60,61,81,5,0,98.36
44932,936163,28,40,50,2,0,70.0
43906,936165,1,9,8,0,0,11.11
379143,936165,55,46,78,7,2,119.56
44828,936165,185,141,212,16,3,131.2
44936,936165,64,62,81,4,0,103.22
44932,936165,20,22,30,2,0,90.9
44410,936165,36,20,33,4,1,180.0
265564,936165,1,1,2,0,0,100.0
379143,936167,109,87,111,16,0,125.28
43906,936167,154,134,217,15,5,114.92
44828,936167,41,34,46,1,2,120.58
44936,936167,14,9,11,2,0,155.55
44932,936167,10,12,23,1,0,83.33
44410,936167,32,20,30,1,2,160.0
439952,936167,3,4,12,0,0,75.0
265564,936167,1,1,5,0,0,100.0
379143,1020031,69,64,96,9,1,107.81
43906,1020031,35,43,63,4,0,81.39
44828,1020031,14,18,26,1,0,77.77
44936,1020031,37,34,72,3,0,108.82
44932,1020031,1,4,5,0,0,25.0
44410,1020031,0,1,2,0,0,0.0
439952,1020031,16,16,22,3,0,100.0
540316,1020031,29,23,37,2,2,126.08
43906,1020033,10,13,19,2,0,76.92
379143,1020033,57,65,104,6,0,87.69
44828,1020033,11,17,26,2,0,64.7
44932,1020033,34,44,44,3,0,77.27
44936,1020033,45,49,73,2,0,91.83
321777,1020033,28,39,52,3,0,71.79
327830,1020033,50,27,57,4,2,185.18
439952,1020033,7,8,10,1,0,87.5
265564,1020033,0,4,2,0,0,0.0
540316,1020033,29,34,41,4,0,85.29
379143,1020035,68,70,100,6,2,97.14
43906,1020035,7,19,37,0,0,36.84
44828,1020035,36,46,59,4,0,78.26
44936,1020035,85,80,118,7,1,106.25
44932,1020035,16,34,43,1,0,47.05
