,player,match_id,runs,ball,M,_4s,_6s,strike_rate,name,odi_debut,playing_role,batting_style,bowling_style,fielding_position,odi_no,opposition,ground,match_date,toss,series,result,match_days
0,379143,936159,34,40,56,4,0,85,Quinton de Kock,1/19/2013,Wicketkeeper batsman,Left-hand bat,,Wicketkeeper,3828,8,59159,1/28/2017,"South Africa , elected to field first",Sri Lanka tour of South Africa,South Africa led the 5-match series 1-0,28 January 2017 (50-over match)
1,43906,936159,57,71,110,5,1,80.28,Hashim Amla,3/9/2008,Top-order batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak",,3828,8,59159,1/28/2017,"South Africa , elected to field first",Sri Lanka tour of South Africa,South Africa led the 5-match series 1-0,28 January 2017 (50-over match)
2,44828,936159,55,68,85,5,0,80.88,Faf du Plessis,1/18/2011,Middle-order batsman,Right-hand bat,Legbreak,,3828,8,59159,1/28/2017,"South Africa , elected to field first",Sri Lanka tour of South Africa,South Africa led the 5-match series 1-0,28 January 2017 (50-over match)
3,44936,936159,30,27,32,3,1,111.11,AB de Villiers,2/2/2005,Wicketkeeper batsman,Right-hand bat,Right-arm medium,Wicketkeeper,3828,8,59159,1/28/2017,"South Africa , elected to field first",Sri Lanka tour of South Africa,South Africa led the 5-match series 1-0,28 January 2017 (50-over match)
4,379143,936161,17,22,50,2,0,77.27,Quinton de Kock,1/19/2013,Wicketkeeper batsman,Left-hand bat,,Wicketkeeper,3830,8,59089,2/1/2017,"Sri Lanka , elected to field first",Sri Lanka tour of South Africa,South Africa led the 5-match series 2-0,1 February 2017 - day/night match (50-over match)
5,43906,936161,15,14,16,3,0,107.14,Hashim Amla,3/9/2008,Top-order batsman,Right-hand bat,"Right-arm medium, Right-arm offbreak",,3830,8,59089,2/1/2017,"Sri Lanka , elected to field first",Sri Lanka tour of South Africa,South Africa led the 5-match series 2-0,1 February 2017 - day/night match (50-over match)
6,44828,936161,105,120,164,7,1,87.5,Faf du Plessis,1/18/2011,Middle-order batsman,Right-hand bat,Legbreak,,3830,8,59089,2/1/2017,"Sri Lanka , elected to field first",Sri Lanka tour of South Africa,South Africa led the 5-match series 2-0,1 February 2017 - day/night match (50-over match)
7,44936,936161,3,5,7,0,0,60,AB de Villiers,2/2/2005,Wicketkeeper batsman,Right-hand bat,Right-arm medium,Wicketkeeper,3830,8,59089,2/1/2017,"Sri Lanka , elected to field first",Sri Lanka tour of South Africa,South Africa led the 5-match series 2-0,1 February 2017 - day/night match (50-over match)
8,44932,936161,11,19,27,0,0,57.89,Jean-Paul Duminy,8/20/2004,Batting allrounder,Left-hand bat,Right-arm offbreak,,3830,8,59089,2/1/2017,"Sri Lanka , elected to field first",Sri Lanka tour of South Africa,South Africa led the 5-match series 2-0,1 February 2017 - day/night match (50-over match)
9,321777,936161,117,98,138,3,6,119.38,David Miller,5/22/2010,Middle-order batsman,Left-hand bat,Right-arm offbreak,,3830,8,59089,2/1/2017,"Sri Lanka , elected to field first",Sri Lanka tour of South Africa,South Africa led the 5-match series 2-0,1 February 2017 - day/night match (50-over match)
