player,mat,overs,M,runs,wicket,econ,_0s,_4s,_6s,wide,no_ball
550215,936159,10.0,1,35,1,3.5,40,5,0,0,0
265564,936159,10.0,1,48,3,4.8,39,6,0,5,0
439952,936159,9.3,1,29,2,3.05,40,2,0,5,0
540316,936159,7.0,0,31,0,4.42,29,4,1,1,0
40618,936159,10.0,0,26,3,2.6,37,0,0,0,0
44932,936159,2.0,0,7,0,3.5,7,0,0,1,0
550215,936161,8.0,0,47,1,5.87,24,5,0,3,0
265564,936161,6.0,0,34,2,5.66,20,5,0,0,0
439952,936161,6.0,0,27,1,4.5,22,4,0,0,0
40618,936161,8.5,1,26,2,2.94,35,1,0,1,0
540316,936161,4.0,0,21,1,5.25,13,2,0,1,0
44932,936161,5.0,0,30,2,6.0,15,5,0,0,0
550215,936163,7.0,0,39,2,5.57,22,5,0,1,0
439952,936163,8.0,0,38,1,4.75,29,3,0,3,0
327830,936163,7.0,2,19,3,2.71,32,3,0,0,0
44932,936163,3.0,0,17,0,5.66,9,2,0,0,0
540316,936163,5.0,0,26,2,5.2,15,2,0,2,0
40618,936163,9.2,2,21,2,2.25,41,1,0,0,0
265564,936165,9.1,0,58,4,6.32,23,5,2,1,0
327830,936165,8.0,0,55,2,6.87,21,8,0,1,0
44932,936165,1.0,0,12,0,12.0,4,0,2,0,0
550215,936165,9.0,1,50,2,5.55,28,5,1,1,0
40618,936165,10.0,0,76,2,7.6,23,11,1,0,0
379145,936165,10.0,0,60,0,6.0,30,4,3,0,0
44410,936165,1.0,0,9,0,9.0,2,1,0,0,0
550215,936167,10.0,0,55,0,5.5,35,4,2,5,0
439952,936167,10.0,1,31,4,3.1,39,1,0,1,0
265564,936167,7.0,0,51,2,7.28,19,5,2,1,0
40618,936167,10.0,0,57,1,5.7,36,8,1,2,0
44932,936167,5.0,0,28,0,5.6,15,3,0,0,0
540316,936167,7.0,1,44,0,6.28,21,5,1,2,0
44410,936167,1.0,0,17,0,17.0,1,4,0,0,0
550215,1020031,7.0,1,31,2,4.42,30,1,1,3,0
439952,1020031,7.0,0,62,4,8.85,19,6,3,1,0
540316,1020031,5.0,0,28,0,5.6,14,2,0,1,0
40618,1020031,7.0,0,42,0,6.0,16,1,1,0,0
379145,1020031,7.0,1,39,1,5.57,20,4,1,0,0
44932,1020031,1.0,0,4,0,4.0,3,0,0,0,0
439952,1020033,10.0,0,58,0,5.8,30,7,0,2,0
265564,1020033,8.0,0,49,1,6.12,21,4,0,2,0
327830,1020033,10.0,0,40,2,4.0,30,2,0,1,0
40618,1020033,10.0,0,61,1,6.1,20,4,0,2,0
540316,1020033,9.0,0,62,0,6.88,19,8,0,0,0
44932,1020033,3.0,0,17,0,5.66,5,1,0,0,0
550215,1020035,10.0,0,39,2,3.9,39,1,1,2,0
265564,1020035,8.0,0,33,2,4.12,29,2,1,0,0
540316,1020035,5.0,0,12,2,2.4,22,1,0,1,0
327830,1020035,5.2,1,5,3,0.93,27,0,0,0,0
40618,1020035,4.0,1,23,1,5.75,13,2,1,1,0
550215,1020037,8.0,0,41,1,5.12,28,6,0,3,0
265564,1020037,7.0,1,44,0,6.28,21,6,1,0,0
439952,1020037,9.0,0,54,0,6.0,28,5,2,1,0
44932,1020037,3.0,0,26,0,8.66,6,3,1,0,0
327830,1020037,8.0,0,55,0,6.87,24,5,3,0,0
40618,1020037,10.0,2,56,2,5.6,35,1,5,0,0
550215,1020039,7.1,1,25,3,3.48,32,3,0,2,0
439952,1020039,9.0,0,34,1,3.77,40,5,0,2,0
40618,1020039,10.0,0,14,2,1.4,46,0,0,0,0
540316,1020039,7.0,1,35,2,5.0,27,3,2,0,0
327830,1020039,8.0,0,36,0,4.5,30,4,1,0,0
550215,1031425,9.0,0,63,1,7.0,28,6,2,3,3
265564,1031425,7.0,0,47,1,6.71,19,3,2,1,0
439952,1031425,10.0,1,61,2,6.1,26,6,1,2,0
40618,1031425,9.0,0,68,0,7.55,16,4,3,0,0
540316,1031425,9.0,0,59,2,6.55,23,1,4,0,1
44932,1031425,6.0,0,34,0,5.66,13,3,0,1,0
550215,1031427,10.0,0,50,2,5.0,32,4,0,4,0
439952,1031427,10.0,0,66,0,6.6,29,6,2,2,0
327830,1031427,10.0,0,61,1,6.1,30,9,0,0,0
267724,1031427,10.0,0,72,1,7.2,17,6,1,0,0
540316,1031427,10.0,1,74,1,7.4,28,11,1,2,0
550215,1031429,9.0,1,39,4,4.33,39,5,0,2,0
265564,1031429,8.0,0,43,3,5.37,33,6,0,2,0
46538,1031429,4.0,0,15,0,3.75,15,2,0,0,0
267724,1031429,6.1,0,25,3,4.05,23,3,0,0,0
439952,1031429,4.0,0,29,0,7.25,13,4,1,0,0
550215,1022351,8.0,1,46,1,5.75,29,5,1,3,1
265564,1022351,10.0,0,54,0,5.4,33,8,0,1,0
46538,1022351,6.0,0,31,1,5.16,18,3,0,2,0
439952,1022351,7.0,0,32,2,4.57,23,1,1,1,0
40618,1022351,8.3,0,27,4,3.17,31,2,0,0,0
44932,1022351,2.0,0,7,0,3.5,9,1,0,1,0
550215,1022359,7.0,1,36,0,5.14,29,7,0,0,1
265564,1022359,4.0,0,25,0,6.25,12,4,0,0,0
46538,1022359,7.0,1,18,3,2.57,32,2,0,1,0
439952,1022359,5.0,1,22,0,4.4,19,2,0,1,0
40618,1022359,4.0,0,16,0,4.0,14,0,1,1,0
550215,1022367,9.0,2,34,0,3.77,37,3,1,0,0
46538,1022367,7.0,1,38,1,5.42,29,6,1,0,1
540316,1022367,5.0,0,25,0,5.0,18,1,1,0,0
439952,1022367,8.0,0,40,0,5.0,27,5,0,1,0
40618,1022367,6.0,0,37,1,6.16,17,6,0,0,0
44932,1022367,3.0,0,17,0,5.66,7,0,1,0,0
550215,1075504,10.0,1,43,4,4.3,43,3,2,5,0
327947,1075504,9.0,0,69,0,7.66,29,9,3,0,0
40618,1075504,10.0,0,45,1,4.5,31,5,0,0,0
327830,1075504,10.0,0,48,2,4.8,30,5,0,1,0
540316,1075504,10.0,0,60,0,6.0,24,5,1,4,0
44932,1075504,1.0,0,8,0,8.0,1,1,0,0,0
550215,1075505,9.0,1,40,0,4.44,34,3,1,2,0
327947,1075505,8.5,0,67,1,7.58,23,10,0,1,0
327830,1075505,10.0,0,48,2,4.8,31,3,1,2,0
540316,1075505,10.0,1,40,4,4.0,34,2,0,3,0
40618,1075505,10.0,0,50,3,5.0,29,3,1,1,0
550215,1075506,8.0,1,33,1,4.12,31,4,0,2,0
327947,1075506,9.0,0,44,3,4.88,37,7,0,1,0
698189,1075506,8.0,0,32,1,4.0,28,3,0,1,1
540316,1075506,4.0,1,13,1,3.25,14,1,0,0,0
40618,1075506,8.4,1,27,2,3.11,36,3,0,1,0
600498,1075506,3.0,0,18,2,6.0,11,3,0,0,0
46538,1122279,7.0,0,35,1,5.0,26,4,1,1,0
550215,1122279,9.3,0,48,0,5.05,29,6,0,0,0
439952,1122279,7.0,0,52,0,7.42,18,5,1,2,0
40618,1122279,10.0,0,51,0,5.1,21,2,1,0,0
540316,1122279,8.0,0,42,2,5.25,23,4,0,2,0
44932,1122279,2.0,0,16,0,8.0,3,2,0,1,0
600498,1122279,2.0,0,20,0,10.0,2,1,0,1,0
46538,1122280,4.0,0,30,0,7.5,14,4,1,3,0
550215,1122280,5.0,0,24,1,4.8,21,3,1,1,0
439952,1122280,3.0,0,16,0,5.33,11,2,0,1,0
40618,1122280,5.3,0,30,0,5.45,14,2,0,1,0
379145,1122280,3.0,1,18,0,6.0,12,4,0,0,0
550215,1122281,10.0,1,54,1,5.4,33,5,1,3,0
542023,1122281,6.0,0,47,0,7.83,14,7,0,2,0
439952,1122281,9.0,0,45,1,5.0,23,2,1,1,0
540316,1122281,6.0,0,42,1,7.0,14,4,0,5,0
40618,1122281,9.0,0,52,1,5.77,18,5,0,0,0
