ground_id,ground_name,country
56293,Adelaide Oval,Australia
56336,Brisbane Cricket Ground,Australia
56370,Manuka Oval,Australia
56407,Bellerive Oval,Australia
56441,Melbourne Cricket Ground,Australia
56450,Docklands Stadium,Australia
56490,W.A.C.A. Ground,Australia
56544,Sydney Cricket Ground,Australia
56658,Zahur Ahmed Chowdhury Stadium,Bangladesh
56661,Bangabandhu National Stadium,Bangladesh
56788,Edgbaston,England
56869,St Lawrence Ground,England
56874,Sophia Gardens,England
56901,Riverside Ground,England
57092,Headingley,England
57127,Kennington Oval,England
57129,Lord's,England
57160,Old Trafford,England
57219,Trent Bridge,England
57312,The Rose Bowl,England
57851,Sardar Patel Stadium,India
57897,M.Chinnaswamy Stadium,India
57980,Eden Gardens,India
57991,Punjab Cricket Association IS Bindra Stadium,India
58008,MA Chidambaram Stadium,India
58040,Arun Jaitley Stadium,India
58081,Nahar Singh Stadium,India
58119,Captain Roop Singh Stadium,India
58142,Rajiv Gandhi International Stadium,India
58150,Holkar Cricket Stadium,India
58162,Sawai Mansingh Stadium,India
58180,Keenan Stadium,India
58204,Green Park,India
58230,Nehru Stadium,India
58317,Brabourne Stadium,India
58324,Wankhede Stadium,India
58344,Vidarbha Cricket Association Ground,India
58516,Reliance Stadium,India
58588,Civil Service Cricket Club,Ireland
58661,Gymkhana Club Ground,Kenya
58686,VRA Cricket Ground,Netherlands
58792,Eden Park,New Zealand
58810,Hagley Oval,New Zealand
58812,AMI Stadium,New Zealand
58822,Carisbrook,New Zealand
58831,Seddon Park,New Zealand
58857,McLean Park,New Zealand
58899,Westpac Stadium,New Zealand
58927,Iqbal Stadium,Pakistan
58967,Gaddafi Stadium,Pakistan
58986,Multan Cricket Stadium,Pakistan
59006,Rawalpindi Cricket Stadium,Pakistan
59039,Willowmoore Park,South Africa
59042,Mangaung Oval,South Africa
59068,Newlands,South Africa
59079,SuperSport Park,South Africa
59089,Kingsmead,South Africa
59098,Buffalo Park,South Africa
59120,The Wanderers Stadium,South Africa
59135,Diamond Oval,South Africa
59147,Boland Park,South Africa
59159,St George's Park,South Africa
59172,Senwes Park,South Africa
59306,R.Premadasa Stadium,Sri Lanka
59308,Sinhalese Sports Club,Sri Lanka
59325,Galle International Stadium,Sri Lanka
59368,Rangiri Dambulla International Stadium,Sri Lanka
59387,Kallang Ground,Singapore
59392,Sharjah Cricket Stadium,United Arab Emirates
59396,Sheikh Zayed Stadium,United Arab Emirates
59421,Warner Park,West Indies
59429,Kensington Oval,West Indies
59458,Sabina Park,West Indies
59463,Arnos Vale Ground,West Indies
59475,Queen's Park Oval,West Indies
59480,Windsor Park,West Indies
59490,National Cricket Stadium,West Indies
59495,Antigua Recreation Ground,West Indies
59518,Daren Sammy National Cricket Stadium,West Indies
59537,Queens Sports Club,Zimbabwe
59545,Harare Sports Club,Zimbabwe
59590,National Cricket Stadium,Morocco
208543,Sir Vivian Richards Stadium,West Indies
208544,Providence Stadium,West Indies
236761,Shere Bangla National Stadium,Bangladesh
375326,Vidarbha Cricket Association Stadium,India
377285,Saurashtra Cricket Association Stadium,India
392627,Dubai International Cricket Stadium,United Arab Emirates
434210,Mahinda Rajapaksa International Cricket Stadium,Sri Lanka
434211,Pallekele International Cricket Stadium,Sri Lanka
444258,Bay Oval,New Zealand
1126475,Perth Stadium,Australia
